City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
64,Udachnyy,RU,53.6,66.42,112.4,Gostinitsa Vilyuy
66,Salym,RU,55.29,60.06,71.48,Shinomontazh
67,Berlevag,NO,53.6,70.86,29.09,Kvitbrakka
68,Khatanga,RU,52.47,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
70,Katoro,TZ,69.71,-3.02,31.9,Tomato Lodge
72,Mehamn,NO,51.8,71.04,27.85,Mehamn Arctic Hotel AS
73,Soyo,AO,72.59,-6.13,12.37,Hotel Mpampa
75,Tasiilaq,GL,50.0,65.61,-37.64,The Red House
77,Kawalu,ID,71.76,-7.38,108.21,KOSAN UNGU UNSIK
78,Laranjeiras Do Sul,BR,62.96,-25.41,-52.42,Hotel Palmeiras
79,Inuvik,CA,53.6,68.35,-133.72,Nova Inn Inuvik
81,Chicama,PE,71.04,-7.84,-79.15,Hospedaje Punta Cana PERU
83,Iqaluit,CA,46.4,63.75,-68.51,Frobisher Inn
84,Norman Wells,CA,53.6,65.28,-126.83,Heritage Hotel
87,Port Alfred,ZA,53.26,-33.59,26.89,The Halyards Hotel
88,Port Macquarie,AU,45.0,-31.43,152.92,Rydges Port Macquarie
90,Sitka,US,53.6,57.05,-135.33,Westmark Sitka
91,Belmonte,BR,73.4,-15.86,-38.88,Pousada Monte Carmelo O Pão
92,Ust-Ishim,RU,53.4,57.69,71.17,"Velichko T.p., Gostinitsa"
94,Puerto Ayora,EC,75.2,-0.74,-90.35,Finch Bay Galapagos Hotel
95,Hermanus,ZA,50.0,-34.42,19.23,Misty Waves Boutique Hotel
97,Namibe,AO,64.67,-15.2,12.15,Hotel Chik Chik Namibe
98,Cape Town,ZA,55.99,-33.93,18.42,Southern Sun Waterfront Cape Town
99,Karratha,AU,67.01,-20.74,116.85,ibis Styles Karratha
101,Chernyshevskiy,RU,52.23,63.01,112.47,Chernyseyskiy
104,Coquimbo,CL,55.4,-29.95,-71.34,Hotel San Juan
105,Pangnirtung,CA,48.2,66.15,-65.71,Kilabuk Lodge
106,Raahe,FI,60.8,64.68,24.48,Hotelli Raahen Hovi
107,Kruisfontein,ZA,48.0,-34.0,24.73,Oyster Bay House Rental
108,Anadyr,RU,41.0,64.75,177.48,"Гостиница ""Анадырь"""
109,Ponta Delgada,PT,75.2,37.73,-25.67,Vila Nova Hotel
110,Vila Franca Do Campo,PT,75.2,37.72,-25.43,Pestana Bahia Praia
113,Phonhong,LA,73.09,18.5,102.42,Napakuang Resort
114,Tiksi,RU,39.25,71.69,128.87,Arktika
118,Okha,RU,53.85,53.57,142.95,Империя
119,Hofn,IS,51.69,64.25,-15.21,Hótel Höfn
124,Nanortalik,GL,51.93,60.14,-45.24,"NTS Rooms, Nanortalik"
125,Bredasdorp,ZA,53.6,-34.53,20.04,Bredasdorp Country Manor
126,Bulgan,MN,49.57,48.81,103.53,Bulgan Hotel
128,Poum,NC,69.21,-20.23,164.02,Gîte kajeon
129,Along,IN,73.54,28.17,94.77,Hotel West
132,Sovetskaya Gavan,RU,60.3,48.97,140.29,"Хостел ""Пилигрим"""
134,Kyzyl-Suu,KG,57.38,42.34,78.0,Gostinitsa Nur-Ordo
135,Chapais,CA,55.4,49.78,-74.85,Hôtel Opémiska
136,Ponta Do Sol,PT,75.99,32.67,-17.1,Hotel do Campo
137,Yellowknife,CA,57.2,62.46,-114.35,The Explorer Hotel
138,Souillac,MU,71.6,-20.52,57.52,Bils' Villa
140,Tautira,PF,73.4,-17.73,-149.15,Pension Oaoa
